Structure [idcode]	MolRegNo	m	Value	Unit	Type	pValue	Ligand Efficiency	Binding Efficiency	Surface Efficiency	Assay Category	Assay Organism	Target ID	Target Name	Target Organism	Target Description	Sequence Accession	Reference	Pubmed ID	DOI	
eg`XBH@CFick`ICHhdlhhhddmEYeLiPphYxe@AREAIUUTq@D@T@ !B@PBH_G\B`P@A`G^B@XA`FeOh_`@H?RrX_wzH@h`BOPa}BHa}_Da?og}~_Pc}mw}~_Pc}Mw}~_Xa}mp	1450253	=	28	nM	IC50	7.55	0.34	18.36	9.13		Homo sapiens	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 15 (4), 1027-1032 (2005)	15686906	10.1016/j.bmcl.2004.12.042	
ehTXJH@GDico`PICHhdlhhhhdmDhcFieJFCGH@HBHfjjjjfABj[RCr@ !B`T@w@bc|?b@A`Bc|p^Bw`kC\?`@WoXE@RCwpOE]BEtIH?Bc|`TAW?S]}wh@poR`}[f|wHc^}@S~wpn^Cwe~wh`	403465	=	10	nM	IC50	8	0.33	17.41	8.01		Homo sapiens	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 15 (4), 1027-1032 (2005)	15686906	10.1016/j.bmcl.2004.12.042	
eiSTJH@AIaeh^QPICHhdlhhhdheDdhXcmEDlmJFEKNcbVX@JZj`j`Zb`hHXPPjct@@ !BMsw~Gq]BEsvgOZ]BmqtG{FVw^~LADN`]k?zWHn]b?a?hHj]Cyuw~HOx@zCuHWW{OYpIgBn`bRDKgO_x`?a|WPd_|zOpWO^]]FEwgPox_JDH	417180	=	6	nM	IC50	8.22	0.27	14.72	7.35		Homo sapiens	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 15 (4), 1027-1032 (2005)	15686906	10.1016/j.bmcl.2004.12.042	
ehT\FD@LNAHDIco`P@`ZPrRPsSIQJIQIGIPjYQPpiiZh@bBhDjji`PzHvH`J` !BoS\BMs^BRHHwo_z@MxK~_s^}M{wW@oy?@[|woWy@M{uH_S]}uxIW?M\B?h@woS_|@[|w?C]}?k|w?C]}@[|w?@	418845	=	5	nM	IC50	8.3	0.34	17.24	5.89		Homo sapiens	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 15 (4), 1027-1032 (2005)	15686906	10.1016/j.bmcl.2004.12.042	
edRTBJ@AMIk`XPIBJPRdLiCZPrJIKJIQIQRIJkQ[SJTLJZMCP@TmTERDUUSDH]PzPYP !BTqa?t]IPDyaSFCHpTya??ni`YVAgKN@ZGqi~@J[@aBoupK_Z}~Mw?FBZXIi~@HPkb@Iw@f@Z_`BH@g\B_`BH@g_|	643178	=	7.89	nM	IC50	8.1	0.33	16.8	8.48		Homo sapiens	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 15 (4), 1027-1032 (2005)	15686906	10.1016/j.bmcl.2004.12.042	
eohTBD@AMFekg`I@ZPRYWYYVuWg{ZaaSSJj@Bej`PbjjXa@jSR@J@ !BTqa?t]IPDyaSFCHpTya??ni`YVAgKN@ZGqi~@J[@aBmw?FBZXIi~@HPkb@Iw@f@Z_`BH@g\B_`BH@g_|	643182	<	7	nM	IC50	0	0	0	0		Homo sapiens	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 15 (4), 1027-1032 (2005)	15686906	10.1016/j.bmcl.2004.12.042	
edRTBD@AMIk`XPICZPrJIKJIQIQRIJkQ[SJTLJZMCP@TmTERDUUSDH]PzPYP !BTqa?t]IPDyaSFCHpTya??ni`YVAgKN@ZGqi~@J[@aBna_{lkf\Aw?FBZXIi~@HPkb@Iw@f@Z_`BH@g\B_`BH@g_|	643187	=	8.15	nM	IC50	8.09	0.32	17.19	8.46		Homo sapiens	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 15 (4), 1027-1032 (2005)	15686906	10.1016/j.bmcl.2004.12.042	
eh\\BD@AMKAco`PIAZPrJIKJIQIQQIEZKZYRaaSRkj@Bej`iBJjibDFimHDh !BTqa?t]IPDyaSFCHpTya??ni`YVAgKN@ZGqi~@J[@aBn{Jyg@]?q`ffBZ_`BDJx`B]pI`Fgx@b@Iw@gx@b@Iw?@	643191	=	8.04	nM	IC50	8.1	0.34	17.69	8.19		Homo sapiens	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 15 (4), 1027-1032 (2005)	15686906	10.1016/j.bmcl.2004.12.042	
eh\TBD@AINco`PICZPrJIKJIQIJJIHqEJERaaSQjZ@BZjdJ`hjiaDBhmHGH !BXFTfwpQTxFU`iXQTXFTZGq`l@OxXTwx@KJ_`Fg_|`HyMSr[@~Bm~@Bqg[J^H@g\BsR}~@Bqgb@Iw@gx@b@Iw?@	643195	=	9	nM	IC50	8.05	0.33	17.63	8.42		Homo sapiens	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 15 (4), 1027-1032 (2005)	15686906	10.1016/j.bmcl.2004.12.042	
eh\TBD@ACNco`PHcZPrJIJZZJIZJIHqEJERcaPqjZ@HfjdJ`hjiaDBhmHGH !BnuP_iRY@nuR{UN}eilAgKNT_YuM~@G?~KJ\_Fg_|ST~@cag@nrm~@FrgKF^H@g\B@Ly~@Bqgb@Iw@gx@b@Iw?@	643199	=	8.1	nM	IC50	8.09	0.33	17.11	8.47		Homo sapiens	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 15 (4), 1027-1032 (2005)	15686906	10.1016/j.bmcl.2004.12.042	
edRTBL@IKAk`XPHabHNdLbbRbLTTRtTRQbJTJeGFegRt@QSUREPTUTpbETvdGd@ !BfS~DJq~eVS~YwxPkGzWoYV\lyQ}gTwx@_?xliq|Z]?qMSxBNnrlYpGx@[J\lYx`B]pH@sgx@KF^H@g\B_`BH@g_|	643203	=	7.66	nM	IC50	8.12	0.33	16	8.49		Homo sapiens	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 15 (4), 1027-1032 (2005)	15686906	10.1016/j.bmcl.2004.12.042	
edRTBH@AMEk`XPICHhdlheDeEDdUDhuLiPpiiUu@ARuPTaEUULP`uCi@e@ !BTqcRTG?QTq`SfK~qTya??ni`YVAgKN@ZGqi~@J[@aBn{Jqg@]?q`ffBZ_`BDJzY@aBnH@g\B_`BH@g\B_`BH@g_|	643179	=	7.25	nM	IC50	8.14	0.33	17.45	8.52		Homo sapiens	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 15 (4), 1027-1032 (2005)	15686906	10.1016/j.bmcl.2004.12.042	
eg`PJ@@@DALalbbRbvTTTTTjradUCGdQUSUUUUUMUMUS\DDTDJTZTFTNDUD@@ !ByKI~@D`CBHHH`d`C_`@TsS_|_`Bw@``B?`Bw__x@yDvH@k\B?g~w@k]}m?wkLaNj?g~w?_zg[IW~Jp	138562	=	49	nM	IC50	7.31	0.33	17.46	10.04			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4531-4537 (2007)	17574411	10.1016/j.bmcl.2007.05.097	
emWTJH@CFjklYUPICHhdlhhhhddeEDcCLUEDlmJFMCBefQX@JYhJ`ZhjjB`abABZ@p@ !BWB`@hYvpWBa\jIupWJa@jPe@xh|bBK@R}|H@DVLW`KZVPM]Cxh|Rc?JPcL\GmA@j}|IcexBv}Z?A@M]CcL_wpdBv}R?A@M]CcL]Lq?_B}Z?A@M]C	385240	=	3	nM	IC50	8.52	0.27	14.53	8.27			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4531-4537 (2007)	17574411	10.1016/j.bmcl.2007.05.097	
eaUTJDDKBle`V^PMBBP@gglBTRVTTTRRTRbubrbbVVcGFeaUVML@EKUUMUUTEACEB@uEu@@ !BIj}\j@Bag[A\jErhgWA\jLBiBT@bBKKOlAKwpd@VhHVVPM]C^bCxRy`lA{PPJo_B|LKA@M]CrHOwp`cBpW?A@M]CrHOHP?_BPW?A@M]C	385239	=	3.5	nM	IC50	8.46	0.3	15.76	8.21			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4531-4537 (2007)	17574411	10.1016/j.bmcl.2007.05.097	
enYTJDDKBlehZVPMBBP@eglBTRVTTTRRTRbubfRTQtXxtlJjAq`@iZjijjhHJIba@Zaz`@ !Ble]\j@Bag[A\jErhgWA\jLBiBT@bBKKOlAKwpd@VhHVVPM]C^jCxRy`lA{PPJo_B|LKA@M]Cw`@hP?_B|LKpplD@utOHP?_BpPCWPp	385238	=	0.3	nM	IC50	9.52	0.34	18.22	9.25			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4531-4537 (2007)	17574411	10.1016/j.bmcl.2007.05.097	
ebVTJDDKBncod\PMBBP@gGlBTRVTTTTRRbRbsaTrcGAedQSVt@ELtETCTUULTHKTOT@@ !B[I]\J@Bag[A\JErhgWA\jDBibT@|urKplAKwphC^W[\@WiY@utOB|KqWoE_B|@^tDBkwpeuwpPCWP?_BpPCWP?_BpPCWPp	385237	=	11.7	nM	IC50	7.93	0.31	16.51	6.86			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4531-4537 (2007)	17574411	10.1016/j.bmcl.2007.05.097	
ec_TJLDKBnklYUPMBBPud@IU{@eDeeEEEDdhdhdgDUEDlmDqpYYDTt\rK@ASMAU@uQUAPPtTBBu@M@@ !BZe]\j@Bag[A\jErhgWA\jLBibT@|UrKplAKwphC^W[\@WiY@utOB|KqWoE_B|@^tDBkwp`C^WW_A@M]COM_wp`C^wW_A@M]COM^|u?_Bw__A@M]COM\	385236	=	4.7	nM	IC50	8.33	0.26	14.15	7.95			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4531-4537 (2007)	17574411	10.1016/j.bmcl.2007.05.097	
ec_TJLDI@cD^U]PMBBPYd@Iu{@eDeBhhihdheeEcDdhbeBhqpyEetTuBS@AULDaTUTDEEULPbGuEM@@ !B@AukP[VlE]MkPVnAE]NukFmAMZpUtviLZtFkPThSwXHUtqUSE]NsiPyTJpyJDsMj`~JtagWcd{WjLzm^LviuDwWcPQRSmVo^LviuDtDTd{TsZdDTd{T	385235	=	37.4	nM	IC50	7.43	0.24	12.62	7.09			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4531-4537 (2007)	17574411	10.1016/j.bmcl.2007.05.097	
ec_TJLDI@cD^U]PMBBPYd@Iu{@eEDdXhihdheeEcDdhbeBipHyEetTuBS@PULDaTUTDEEULPbGuEM@@ !B@BUUB}mA|kMU|?VLUPorlumA}XqU|ritV|E[P_Hs_[qU|uWsU_NKy_Zdf?XJLpljhrJTA`wSl?Vjbum^BrjMLxwSPRRs}Um^BrjMLtDdl?TKJdDdl?T	385234	=	3	nM	IC50	8.52	0.27	14.48	8.14			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4531-4537 (2007)	17574411	10.1016/j.bmcl.2007.05.097	
emWTJDDKBnklYUPMBBP@eWlBTRVTTTTRRbRbR\QTTRrtXxLlbJZNYE`@if`j`Zhj`hHXhDEj@Z@@ !BXe]\j@Bag[A\jErhgWA\jLBiBT@|UrKplAKwphC^W[\@WiY@utOB|KqWoE_B|@^tDBkwp`C^WW_A@M]COM_wp`C^wW_A@M]COM^|u?_Bw__A@M]C	385233	=	13.9	nM	IC50	7.86	0.26	13.77	7.51			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4531-4537 (2007)	17574411	10.1016/j.bmcl.2007.05.097	
emWTJLDAOMHVYUPMBBPid@IU{@eDeeEEMDeDlhlXdeDThUFNK@dflj`\X@JfBPjJjBBbjfHQAz`f`@ !B@LWk`WTlUSOkPVnAeSMk`[TlESMjSNmAZtFJdstBESLUtqTs\zTNeJlNbiLsZdObmHYuDyNuzkMkWcMj}YOuDtGdd{WkwcMj}YMAyINuLviAyINu	385231	=	16.4	nM	IC50	7.79	0.25	13.55	7.44			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4531-4537 (2007)	17574411	10.1016/j.bmcl.2007.05.097	
emWTJLDFGE@ZQYPH`fPUtI^UgHhdiihihdheeEcDdhbeBhJNCOHjdbodX@bfBPjJjBBbjfHQBzcF`@ !B}Xq[`\it}TsucEnAJoSucEWsJoQ[pYmA|cM}_EWsUWMU|xoe}jP[}`hs|rjcHiPFC]Ls}ZhKVu{sJhwSc]MAICOuVu{sJhwSPRPs}_LjPRPs}W~|	385229	=	2.9	nM	IC50	8.54	0.28	14.44	8.16			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4531-4537 (2007)	17574411	10.1016/j.bmcl.2007.05.097	
emWTJLDNOMHVYUPMBBPid@IU{@eDeMMEMDeDlhlXdeDThUFAK@dflj`\X@bfBPjJjBBbjfHQAz`f`@ !B@@MMM@^AbiRMmDvt~tFJUDvtmRnJU@_A~tDrBtM\MRlursTkZyUvAGmvl`lkbiNBIGkMBxmMrjo{WbnJKPlmBtExbttGWbnJKPmA^HmMJxiA^HmM	385227	=	1.9	nM	IC50	8.72	0.28	15.18	8.33			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4531-4537 (2007)	17574411	10.1016/j.bmcl.2007.05.097	
emWTJDDKAngjYUPMBBP@eWlBTRVTTTTRRbTTRiffRTQtXxLljFZNIy`@if`jHZhjBBbXhDMjDZ@@ !Bbo]\J@Bag[A\JErhgWA\jDBiBTBrKrKplAKwpbBEfqm@yiY@utOzWycL~e}zHOaKA{PPJo_BVyoPllD@utNN`EcS}|KPLmBrpPCWPycS}|KA@M]C	385222	=	9.6	nM	IC50	8.02	0.26	14.05	7.78			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4531-4537 (2007)	17574411	10.1016/j.bmcl.2007.05.097	
ee[TJDDKBnkbQYPMBBP@fWlBTRVTTTTRRbRbR\TJRbNcGAedQSQvKL@ELtETCUEAAQLTBBuDM@@ !BZ`}\J@Bag[A\JErhgWA\jDBiBT@|urKplAKwphC^W[\@WiY@utOB|KqWoE_B|@^tDBkwp`@~WW_A@M]CpoB|u?_B@Mx@OlD@utL|u?_BpPCWPp	385221	=	16.7	nM	IC50	7.78	0.26	13.97	7.43			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4531-4537 (2007)	17574411	10.1016/j.bmcl.2007.05.097	
ee[TJD@CLdojQYPIAzPrJIKJJJJIJIISKFIQHkPjTLZFUKHdp@TsPTpUQATDULPH[SF@@ !BTqcRtG|qTqbSFK~qdya??ai`Tz]eXF\lXAkRs{}NGqk~@J[@aBmSYuNgnrnw@h`BXAj?Sa|ZidBDJuMgf\B{Jv@ZXAh_F`Pkf\B{Jq|Zf\B{Jp	385219	=	1.8	nM	IC50	8.74	0.28	15.16	7.82			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4531-4537 (2007)	17574411	10.1016/j.bmcl.2007.05.097	
eg`PJ@@@DALalbbRbvTTTTTjradUCGdQUSUUUUUMUMUS\DDTDJTZTFTNDUD@@ !ByKI~@D`CBHHH`d`C_`@TsS_|_`Bw@``B?`Bw__x@yDvH@k\B?g~w@k]}m?wkLaNj?g~w?_zg[IW~Jp	138562	=	49	nM	IC50	7.31	0.33	17.46	10.04			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4538-4544 (2007)	17574412	10.1016/j.bmcl.2007.05.096	
enYTJDDKNfkdZVPMBBP@eglBTRVTTTTRRRbbQLtqfTXxLljv~A`@if`jAjbjjibIAZbF`@ !BffdlFH@qsU@lFBrXs]@lf@C~YVBliqi`FBp_FhBNsT}`Fox@nrllYzqgilBDJ{_|b@H_FlwOXAjYpKlkUHS@VQ|Zf\B{Jq|Zf\B{Jp	414256	=	3.8	nM	IC50	8.42	0.3	16.11	7.53			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4538-4544 (2007)	17574412	10.1016/j.bmcl.2007.05.096	
enQTJDDKNfkdZVPMBBP@eglBTRVTTTTRRRbbQLtqfTXxLljv`@if`jAjbjjibDEjHZ@@ !BlcDlFH@qsU@lFBrXs]@lf@C~YVBliqi`FBp_FhANsT}`Fox@nrllYzqgilBDJ{_|bOp_FlwOXAjYpKlkaBnfpA|Zf\B{Jq|Zf\B{Jp	414252	=	15	nM	IC50	7.82	0.28	14.91	7			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4538-4544 (2007)	17574412	10.1016/j.bmcl.2007.05.096	
ef^TJDDKNfghRZPMBBP@fglBTRVTTTTRRRbbQacTrcGAeeVt@ELtEPMTUUTqBBu@M@@ !BLcDlFH@qsU@lFBrXs]@lf@C~YVBliqi`FBp_FhBNsT}`Fox@nrllYzqgilBDJ{_|b@H_FlwOXAjYwyg@nrl_Fig@nrl_Fig@nrl	414246	=	20	nM	IC50	7.7	0.28	15.08	7.47			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4538-4544 (2007)	17574412	10.1016/j.bmcl.2007.05.096	
ef^TJDDKNfkhRZPMBBP@fglBTRVTTTTRRRbbQLvtrcGAeeVt@ELtEPMTUUTqBBu@M@@ !BLdDlFH@qsU@lFBrXs]@lf@C~YVBliqi`FBp_FhANsT}`Fox@nrllYzqgilBDJ{\Bb@H_FlwOXAjYpKlkaBl_Fig@nrl_Fig@nrl	414243	=	12	nM	IC50	7.92	0.29	15.51	7.09			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4538-4544 (2007)	17574412	10.1016/j.bmcl.2007.05.096	
ejVTJDDKNfk`\RPMBBP@dglBTRVTTTTRRRbbQLjfTXxLljv`@if`jAjbjjXaAZcz`@ !BradlFH@qsU@lFBrXs]@lf@C~YVBliqi`FBp_FhBNsT}`Fox@nrllYzqgilBDJ{_|bOp_FlwOXAjYpKlkGqjYpKlkGqjYpKlk	414238	=	8.8	nM	IC50	8.06	0.31	16.22	7.21			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4538-4544 (2007)	17574412	10.1016/j.bmcl.2007.05.096	
ebZTJDDKNfcod\PMBBP@gGlBTRVTTTTRRRbbWaTrcGAeeVt@ELtEPMTUULP`mP}P@@ !BxidlFH@qsU@lFBrXs]@lf@C~YVBliqi`FBp_FhBNsT}`Fox@nrllYzqgilBDJ{_|bOp_FlwOf\B{Jq|Zf\B{Jq|Zf\B{Jp	414235	=	3	nM	IC50	8.52	0.33	17.66	6.78			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4538-4544 (2007)	17574412	10.1016/j.bmcl.2007.05.096	
em[RJDDKNhTVklYUPMBBP@eWlBTRVTTTTRRRbbQLvTTRvTXxLljviY`@if`jAjbjfjjXaPVhAh@@ !BAedlFH@qsU@lFBrXs]@lf@C~YVBliqi`FBp_FhBNsT}`Fox@nrllYzqgilBDJ{_|b@H_FlwOXAjYpKlkaBl_FkE?pJZYpKlktLtBmq|Z`CFYpKlk	414233	=	3.4	nM	IC50	8.47	0.28	14.69	6.03			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4538-4544 (2007)	17574412	10.1016/j.bmcl.2007.05.096	
em[RJDDKNhZVklYUPMBBP@eWlBTRVTTTTRRRbbQLvTTRvTXxLljviY`@if`jAjbjfjZXbPVhAh@@ !BZndlFH@qsU@lFBrXs]@lf@C~YVBliqi`FBp_FhBNsT}`Fox@nrllYzqgilBDJ{_|b@H_FlwOXAjYpKlkaBl_FlBflW~YpKlk?K_PsQ|Zim~YpKlk	414231	=	2.6	nM	IC50	8.59	0.28	14.89	6.11			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4538-4544 (2007)	17574412	10.1016/j.bmcl.2007.05.096	
ecWRJDDKNhZVklU]PMBBP@gWlBTRVTTTTRRRbbQLvTTRrRcGAeeVuKL@ELtEPMTUTuSTqD`mPCP@@ !B^bdlFH@qsU@lFBrXs]@lf@C~YVBliqi`FBp_FhBNsT}`Fox@nrllYzqgilBDJ{_|b@H_FlwOXAjYpKlkaBl_FlBflW~YpKlk@k_PsQ|Z`CFfwyg@nrl	414227	=	0.6	nM	IC50	9.22	0.29	15.61	7.12			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4538-4544 (2007)	17574412	10.1016/j.bmcl.2007.05.096	
em[\JDDKNhVklYUPMBBP@eWlBTRVTTTTRRRbbQLvTTRrtXxLljvYE`@if`jAjbj`hHX`PVhAh@@ !BZndlFH@qsU@lFBrXs]@lf@C~YVBliqi`FBp_FhBNsT}`Fox@nrllYzqgilBDJ{_|b@H_FlwOXAjYpKlkaBl_FnCjVU~YpKlkaBnDJq|Zf]~YpKlk	414220	=	0.8	nM	IC50	9.1	0.3	15.86	7.3			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4538-4544 (2007)	17574412	10.1016/j.bmcl.2007.05.096	
em[\JLDLFMI@ZQYP@`fPUtI^UgIEEdmMEEDhhdThedibeBhLJK@ikodZYjZZjhJ@HBbjfdDCjLZ@@ !Bk`PTYTSVX?s|GEnyAIEc?MYDV{dsxke[L~w~~NHs~?y[adorMOHDkfUk{SMc?^HsxcLZZwnnVxYeZ~ts{SOIQFO}^zy[antsrTQc?UnFrTQc?W~I	414218	=	1.5	nM	IC50	8.82	0.29	14.86	7.08			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4538-4544 (2007)	17574412	10.1016/j.bmcl.2007.05.096	
egPtNDDKNfklYUS[PMBBP@eWlBTRVTTTTRRRbbQLvTTRrtQcGAeeVsHl@ELtEPMTUTEACSDBBu@M@@ !B\jdlFH@qsU@lFBrXs]@lf@C~YVBliqi`FBp_FhBNsT}`Fox@nrllYzqgilBDJ{\Bb@H_FlwOXAjYpKlkaBl_FnCjVU~YpKlkaBnDJq|Zf]~YpKlkaBm`Feg_	414217	=	2.2	nM	IC50	8.66	0.26	14.04	5.81			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4538-4544 (2007)	17574412	10.1016/j.bmcl.2007.05.096	
e`t|FDDKNkVklYUSPMBBP@eWlBTRVTTTTRRRbbQLvTTRrtQfcGAeeVsHl@ELtEPMTUTEACSTPHKT@t@@ !Bn`dlFH@qsU@lFBrXs]@lf@C~YVBliqi`FBp_FhANsT}`Fox@nrllYzqgilBDJ{_|b@H_FlwOXAjYpKlkaBl_FnCjVU~YpKlkaBnDJq|Zf]~YpKlkaBm`Feg_aBl_YP	414216	=	1.2	nM	IC50	8.92	0.26	13.86	6.75			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4538-4544 (2007)	17574412	10.1016/j.bmcl.2007.05.096	
egP|FDDKNkVklU]SPMBBP@gWlBTRVTTTTRRRbbQLvTTRrfbcGAeeVsLl@ELtEPMTUTEAPsDBBu@M@@ !BzldlFH@qsU@lFBrXs]@lf@C~YVBliqi`FBp_FhBNsT}`Fox@nrllYzqgilBDJ{\Bb@H_FlwOXAjYpKlkaBl_FnCjVU~YpKlkaBnDJq|ZXAjYwyg@nrnfpHPk	414214	=	1.2	nM	IC50	8.92	0.27	14.49	5.76			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4538-4544 (2007)	17574412	10.1016/j.bmcl.2007.05.096	
ek_\JDDKNcVklYUPMBBP@eWlBTRVTTTTRRRbbQLvTTRrtQXxLljvYE`@if`jAjbj`hHZrAAZ`F`@ !BVfdlFH@qsU@lFBrXs]@lf@C~YVBliqi`FBp_FhBNsT}`Fox@nrllYzqgilBDJ{\Bb@H_FlwOXAjYpKlkaBl_FnCjVU~YpKlkaBnDJq|Zf]~YpKlkaBnDJp	414212	=	0.2	nM	IC50	9.7	0.3	16.23	7.15			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4538-4544 (2007)	17574412	10.1016/j.bmcl.2007.05.096	
ek_TFDDKNfklQU]PMBBP@gWlBTRVTTTTRRRbbQLvTTRrfbXxLljvYe`@if`jAjbj`hJFbAAZ`F`@ !BjidlFH@qsU@lFBrXs]@lf@C~YVBliqi`FBp_FhBNsT}`Fox@nrllYzqgilBDJ{_|b@H_FlwOXAjYpKlkaBl_FnCjVU~YpKlkaBnDJq|ZXAjYwyg@nrnfp@	414211	=	1.8	nM	IC50	8.74	0.27	14.51	7.23			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4538-4544 (2007)	17574412	10.1016/j.bmcl.2007.05.096	
egPtFDDKNfklYUSPMBBP@eWlBTRVTTTTRRRbbQLvTTRrtQSGAeeVsHl@ELtEPMTUTEACUDBBu@M@@ !BBhdlFH@qsU@lFBrXs]@lf@C~YVBliqi`FBp_FhBNsT}`Fox@nrllYzqgilBDJ{_|b@H_FlwOXAjYpKlkaBl_FnCjVU~YpKlkaBnDJq|Zf]~YpKlkaBm`FhPk	414209	=	0.7	nM	IC50	9.15	0.28	14.84	7.56			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4538-4544 (2007)	17574412	10.1016/j.bmcl.2007.05.096	
ek_TFDDKNfklYU]PMBBP@eWlBTRVTTTTRRRbbQLvTTRrtQXxLljvYE`@if`jAjbj`hHZbAAZ`F`@ !ByldlFH@qsU@lFBrXs]@lf@C~YVBliqi`FBp_FhBNsT}`Fox@nrllYzqgilBDJ{_|bOp_FlwOXAjYpKlkaBl_FnCjVU~YpKlkaBnDJq|Zf]~YpKlkaBm`F`	414208	=	0.8	nM	IC50	9.1	0.28	15.09	7.52			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 17 (16), 4538-4544 (2007)	17574412	10.1016/j.bmcl.2007.05.096	
